project,donor,amount
Construcción de un sistema de agua potable en la comunidad de Chajhuaya,Cáritas Boliviana,3536
Construcción de un sistema de agua potable en la comunidad de Chajhuaya,"Beneficiarios, Socios, Comunidades, etc",8241
Construcción del Colegio Secundario Checochi,Ayuda en Acción,10053
Construcción del Colegio Secundario Checochi,Ayuntamiento de Valencia,42213
Construcción del Colegio Secundario Checochi,CDC CAUSANANCHISPAJ,3370
Construcción del Colegio Secundario Checochi,"Beneficiarios, Socios, Comunidades, etc",19810
"Construcción Democrática y Concertada  de normas legales y constitucionales sobre usos, derechos e instituciones de regulación de recursos hídricos y de biodiversidad",Agencia Española de Cooperación Internacional,264849
Convenio AECID,Agencia Española de Cooperación Internacional,614361
Desarrollo forestal sostenible en equidad de género,Ayuntamiento de Sestao,18635
Desarrollo de capacidades de gestión territorial de los pueblos indígenas del norte amazónico de Bolivia,Agencia Española de Cooperación Internacional,235868
Desarrollo económico local en el municipio de Yapacaní,Ayuda en Acción,194850
Desarrollo económico local en el municipio de Yapacaní,Obra Social La Caixa,600000
Desarrollo económico local en el municipio de Yapacaní,Centro de Promoción Agropecuaria Campesina,70154
Desarrollo económico local en el municipio de Yapacaní,"Beneficiarios, Socios, Comunidades, etc",95074
Desarrollo económico y social de campesinos y indígenas del Norte Amazónico de Bolivia,Veterinarios Sin Fronteras - VETERMON,37668
Desarrollo económico y social de campesinos y indígenas del Norte Amazónico de Bolivia,Agencia Catalana de Cooperación al Desarrollo,658738
Desarrollo económico y social de campesinos y indígenas del Norte Amazónico de Bolivia,Centro de Investigación y Promoción del Campesinado,51058
"Consolidación de la piscicultura rural a pequeña escala en las comunidades de la provincia de Moxos, Departamento del Beni, Bolivia.",Agencia Catalana de Cooperación al Desarrollo,390000
Desarrollo forestal sostenible en equidad de género,"Beneficiarios, Socios, Comunidades, etc",26788
"Desarrollo Integral de Niños, Niñas y Adolescentes",Gobierno de Navarra,174020
Desarrollo Local  de Comunidades Indígenas Aymaras del Sector Loma,Diputación Foral de Bizkaia,440675
Desarrollo Local  de Comunidades Indígenas Aymaras del Sector Loma,Asociación Civil AYNI,27964
Desarrollo Local  de Comunidades Indígenas Aymaras del Sector Loma,"Beneficiarios, Socios, Comunidades, etc",130391
Desarrollo territorial en el ADT Manuel María Caballero,Ayuda en Acción,165417
Desarrollo territorial en el ADT Alcalá,Ayuda en Acción,177233
Desarrollo territorial en el ADT Alto Beni,Ayuda en Acción,92949
Desarrollo territorial en el ADT Azurduy - Tarvita,Ayuda en Acción,74044
Desarrollo territorial en el ADT Licoma,Ayuda en Acción,279634
Desarrollo territorial en el ADT Luís Calvo,Ayuda en Acción,184322
Desarrollo territorial en el ADT Malmiza,Ayuda en Acción,216618
Desarrollo territorial en el ADT San José de Chiquitos,Ayuda en Acción,108309
Desarrollo territorial en el ADT Sorata,Ayuda en Acción,166992
Desarrollo territorial en el ADT Sucre,Ayuda en Acción,108309
Desarrollo territorial en el ADT Viacha,Ayuda en Acción,289086
Desarrollo territorial en el ADT Wichaca,Ayuda en Acción,245762
Desarrollo territorial en el ADT Yapacaní,Ayuda en Acción,185110
"Difusión y valorización de los saberes históricos, sociales, culturales y naturales propios al alumnado de primaria de Mojos, Bolivia.",Centre D'estudis Amazónics,13573
"Difusión y valorización de los saberes históricos, sociales, culturales y naturales propios al alumnado de primaria de Mojos, Bolivia.",Ayuntamiento de Masnou / Gavá,12579
"Difusión y valorización de los saberes históricos, sociales, culturales y naturales propios al alumnado de primaria de Mojos, Bolivia.",Centro de Estudio de la Hoya Amazoníca ,2648
Dinamización Cultural en los cinco municipios de la Región Andina,Agencia Española de Cooperación Internacional,165458
Dinamización de economías territoriales en la cuenca alta del Río Azero,Generalitat de Valencia,282683
Dinamización de economías territoriales en la cuenca alta del Río Azero,"Fundación Participación y Sostenibilidad ""PASOS""",32599
Dinamización de economías territoriales en la cuenca alta del Río Azero,"Beneficiarios, Socios, Comunidades, etc",67882
Dinamización de economías territoriales en la cuenca alta del Río Azero,Ayuda en Acción,107468
Diseño y elaboración de cuadernos temáticos diferenciados sobre los derechos de la mujer en Perú y Bolivia,Caja de Granada,27000
"Educación Alternativa desde la interculturalidad para niños/as, jóvenes y personas adultas en el Barrio de Las Américas, Santa Cruz de la Sierra. Bolivia.",Fundacion Intered,15000
"Educación Alternativa desde la interculturalidad para niños/as, jóvenes y personas adultas en el Barrio de Las Américas, Santa Cruz de la Sierra. Bolivia.",Diputación de León,46710
"Educación Alternativa desde la interculturalidad para niños/as, jóvenes y personas adultas en el Barrio de Las Américas, Santa Cruz de la Sierra. Bolivia.",Asociacion Cultural Amistad y Ciencia,20329
Educación en Democracia y Equidad de Género. III Fase.,Generalitat de Valencia,111610
Educación en Democracia y Equidad de Género. III Fase.,Centro de Multiservicios Educativos,23324
Educación Formal y Alternativa,Ayuda en Acción,119645
Educación Formal y Alternativa,Generalitat de Valencia,299746
Educación Formal y Alternativa,"Fundación Participación y Sostenibilidad ""PASOS""",29360
Educación Formal y Alternativa,"Beneficiarios, Socios, Comunidades, etc",48227
"Empoderamiento de las organizaciones de mujeres indígenas, campesinas, originarias y afrobolivianas en Bolivia",Fundación ICO,58032
"Empoderamiento de las organizaciones de mujeres indígenas, campesinas, originarias y afrobolivianas en Bolivia",Red nacional de trabajadoras de la información y la comunicación,1700
Estudio Forestal en vivero de diferentes sustratos implementando ténicas innovadoras en la región de los valles cruceños,Ayuntamiento de Abanto-Zierbena,1079
Estudio Forestal en vivero de diferentes sustratos implementando ténicas innovadoras en la región de los valles cruceños,Socios Particulares,44144
"Extensión de la piscicultura en comunidades indígenas y campesinas en las provincias de Marbán, Cercado y Moxos del Departamento del Beni. ",Centre D'estudis Amazónics,15168
"Extensión de la piscicultura en comunidades indígenas y campesinas en las provincias de Marbán, Cercado y Moxos del Departamento del Beni. ",Agencia Española de Cooperación Internacional,282651
"Extensión de la piscicultura en comunidades indígenas y campesinas en las provincias de Marbán, Cercado y Moxos del Departamento del Beni. ",Centro de Estudio de la Hoya Amazoníca ,68864
Fomento de tejido social y productivo en la Mancomunidad Andina,Junta de Comunidades de Castilla La Mancha,345519
"Fortalecida la Atención Sanitaria en las Comunidades de El Molino Municipio Yocalla y Keluyo Municipio Puna, ofreciendo cobertura de salud a sus habitantes.",Municipios de Yocalla y Puna,43521
Formación de maestras y maestros como líderes promotores desde la escuela de una ciudadanía activa y participativa” III FASE.,Diputación General de Aragón,54631
Formación de maestras y maestros como líderes promotores desde la escuela de una ciudadanía activa y participativa” III FASE.,Asociacion Cultural Amistad y Ciencia,36745
Formación de maestras y maestros como líderes promotores desde la escuela de una ciudadanía activa y participativa” III FASE.,Fundacion Intered,1000
Formación de Trabajadores del Sector Fabril y Equipamiento de Radios Fabriles,Junta de Extremadura,141800
"Fortalecida la Mancomunidad Gran Centro Potosí y sus entidades constituyentes, a tráves de programas y proyectos mancomunados",Diputación de Córdoba,26647
Formación y capacitación de Educadores Populares,Ayuntamiento de Móstoles,40439
Formación y capacitación de Educadores Populares,Instituto Radiofónico Fe y Alegría,19556
Formación y capacitación de Educadores Populares,Proyecto Solidario,1200
Formación y Capacitación de Nuevos líderes de organizaciones campesinas indígenas como “Agentes de la Tierra”,Junta de Comunidades de Castilla La Mancha,18000
Fortalecer el proceso de erradicación del analfabetismo para promover el acceso de las mujeres y los hombres  indígenas guaraníes a la educación en el Municipio de Huacaya – BOLIVIA. ,Agencia Catalana de Cooperación al Desarrollo,34000
Fortalecer el proceso de erradicación del analfabetismo para promover el acceso de las mujeres y los hombres  indígenas guaraníes a la educación en el Municipio de Huacaya – BOLIVIA. ,Fundación Intercultural NORSUD,28398
"Fortalecida la atención sanitaria en el Cabildo Alta del Ayllu Ckaña, Municipio de Tinguipaya, ofreciendo cobertura de salud a los habitantes.",Paz y Desarrollo,2000
"Fortalecida la atención sanitaria en el Cabildo Alta del Ayllu Ckaña, Municipio de Tinguipaya, ofreciendo cobertura de salud a los habitantes.",Caja Extremadura,40000
"Fortalecida la atención sanitaria en el Cabildo Alta del Ayllu Ckaña, Municipio de Tinguipaya, ofreciendo cobertura de salud a los habitantes.",Municipio de Tinquipaya,31233
"Fortalecida la Atención Sanitaria en las Comunidades de El Molino Municipio Yocalla y Keluyo Municipio Puna, ofreciendo cobertura de salud a sus habitantes.",Paz y Desarrollo,3100
"Fortalecida la Atención Sanitaria en las Comunidades de El Molino Municipio Yocalla y Keluyo Municipio Puna, ofreciendo cobertura de salud a sus habitantes.",Xunta de Galicia,152457
"Fortalecida la Mancomunidad Gran Centro Potosí y sus entidades constituyentes, a tráves de programas y proyectos mancomunados",Mancomunidad Gran Centro Potosí,10906
"Fortalecida la Mancomunidad Gran Centro Potosí y sus entidades constituyentes, a tráves de programas y proyectos mancomunados",Paz y Desarrollo,2109
"Fortalecidas las capacidades de las mujeres en sus derechos sexuales y reproductivos, con enfoque intercultural y comunitario. ",Solidaridad Internacional,115811
"Fortalecidas las capacidades de las mujeres en sus derechos sexuales y reproductivos, con enfoque intercultural y comunitario. ",Rivas Vacia Madrid,21705
"Fortalecidas las capacidades de las mujeres en sus derechos sexuales y reproductivos, con enfoque intercultural y comunitario. ","Beneficiarios, Socios, Comunidades, etc",2357
Fortalecimiento de la autonomía política y social de las mujeres en la Mancomunidad Andina de Cochabamba,Agencia Española de Cooperación Internacional,469442
Fortalecimiento a la eduación inicial de 4 comunidades de Cajuata y Licoma,Diputación de León,58667
Fortalecimiento a la eduación inicial de 4 comunidades de Cajuata y Licoma,Servicios Multiples de Tecnologias Apropiadas,2785
Fortalecimiento a la eduación inicial de 4 comunidades de Cajuata y Licoma,Municipios de Licoma y Cajuata,10234
Fortalecimiento a la eduación inicial de 4 comunidades de Cajuata y Licoma,Ayuda en Acción,4008
Fortalecimiento a la Incidencia de las Organizaciones Indígenas y Campesinas en el Cambio del Modelo de Gestión de los Recursos Naturales en Bolivia,Oxfam Internacional,29619
Fortalecimiento al ejercicio de la ciudadanía de mujeres de zonas periurbanas y rurales de Bolivia,Agencia Catalana de Cooperación al Desarrollo,750000
Fortalecimiento al ejercicio de la ciudadanía de mujeres de zonas periurbanas y rurales de Bolivia,Centro de Promoción Gregoria Apaza,162232
Fortalecimiento de la capacidad de autosostenimiento del Hogar Teresa de los Andes. Ampliación y equipamiento de la unidad productiva panadería,Ayuda en Acción,20658
Fortalecimiento de la capacidad de autosostenimiento del Hogar Teresa de los Andes. Ampliación y equipamiento de la unidad productiva panadería,Ayuntamiento de Terrassa,24634
Fortalecimiento de la capacidad de autosostenimiento del Hogar Teresa de los Andes. Ampliación y equipamiento de la unidad productiva panadería,Hogar Teresa de los Andes,80062
Fortalecimiento de la participación política de mujeres indígenas, Asociación para el Desarrollo Social y Cultural ZABALKETA,6972
Fortalecimiento de la participación política de mujeres indígenas,Diputación Foral de Gipuzkoa,139458
Fortalecimiento de la participación política de mujeres indígenas,Proceso Servicios Educativos,38401
Fortalecimiento de la red sanitaria pública y de la gestión local en salud de la provincia de Velasco,Agencia Catalana de Cooperación al Desarrollo,441000
"Fortalecimiento de las capacidades de información, articulación, control y monitoreo de la producción de pequeños campesinos y campesinas del Norte de Santa Cruz.",Veterinarios Sin Fronteras - VETERMON,2311
"Fortalecimiento de las capacidades de información, articulación, control y monitoreo de la producción de pequeños campesinos y campesinas del Norte de Santa Cruz.",Ayuntamiento de Córdoba,80335
"Fortalecimiento de las capacidades de información, articulación, control y monitoreo de la producción de pequeños campesinos y campesinas del Norte de Santa Cruz.",Foro Boliviano Medio Ambiente y Desarrollo,17843
Fortalecimiento de las defensorías municipales de la niñez y adolescencia del Departamento de Santa Cruz,Proyecto Solidario,1310
Fortalecimiento de las defensorías municipales de la niñez y adolescencia del Departamento de Santa Cruz,Junta de Comunidades de Castilla La Mancha,324664
Fortalecimiento de las defensorías municipales de la niñez y adolescencia del Departamento de Santa Cruz,Defensa de Niñas y Niños Internacional - Sección Bolivia,47905
Fortalecimiento de las defensorías municipales de la niñez y adolescencia del Departamento de Santa Cruz,"Municipios de Gutiérrez, Montero, Comarapa y Cuatro Cañadas",58040
Fortalecimiento de los emprendimientos Económicos de las Mujeres de Bolivia y Perú,Comunidad de Madrid,195193
Fortalecimiento de los emprendimientos Económicos de las Mujeres de Bolivia y Perú,Servicios Multiples de Tecnologias Apropiadas,38559
Fortalecimiento de los Institutos de Educación Técnica Media y Superior no Universitaria de Fe y Alegría,Caixa Terrassa,173000
Fortalecimiento de microemprendimientos en los municipios rurales de departamento Chuquisaca-Bolivia,Comunidad de Madrid,280000
Fortalecimiento de procesos socioproductivos en las comunidades indígenas guaraníes del Alto y Bajo Isoso (fase II),Ayuntamiento de Leioa,11597
Fortalecimiento de procesos socioproductivos en las comunidades indígenas guaraníes del Alto y Bajo Isoso (fase II),Apoyo Para el Campesino Indígena del Oriente Boliviano,4340
Fortalecimiento del Tejido Social y Económico de Comunidades Indígenas y Campesinas en la Municipalidad de Huacareta (Bolivia),Diputación Foral de Bizkaia,144800
Fortalecimiento del Tejido Social y Económico de Comunidades Indígenas y Campesinas en la Municipalidad de Huacareta (Bolivia),Fundación Intercultural NORSUD,32285
"Fortalecimiento institucional y formación de personas adultas para una gestión sostenible de los recursos naturales y del desarrollo humano en la provincia de Ayopaya, Bolivia",Ayuntamiento de Madrid,200000
Fortalecimiento Organizativo y Productivo de Campesinos del Municipio de Guayameráin en el Norte Amazónico de Bolivia,Gobierno de Asturias,102266
"Fortalecimiento y consolidación de unidades productivas familiares en el ámbito agropecuario y forestal y de capacidades organizativas de pequeños productores y productoras. Haití, República Dominicana y Bolivia, 4 años.",Centro de Servicios Agropecuarios,142267
"Fortalecimiento y consolidación de unidades productivas familiares en el ámbito agropecuario y forestal y de capacidades organizativas de pequeños productores y productoras. Haití, República Dominicana y Bolivia, 4 años.",Veterinarios Sin Fronteras - VETERMON,2000
"Gestión integrada de la micro cuenca “Suru Hata” con enfoque de soberanía, seguridad alimentaria y negociación, para sustentar el desarrollo económico productivo de los pequeños productores aymaras del cantón de Ilabaya del Departamento de La Paz",CENTRO DE CAPACITACION Y SERVICIO PARA LA INTEGRACION DE LA MUJER,17101
"Fortalecimiento y formación de asociaciones productivas solidarias desde un enfoque sostenible, de igualdad de género y de derechos, promoviendo el comercio justo y los valores que implica a través de la sensibilización de la sociedad tarijeña",Junta de Castilla y León,61208
"Fortalecimiento y formación de asociaciones productivas solidarias desde un enfoque sostenible, de igualdad de género y de derechos, promoviendo el comercio justo y los valores que implica a través de la sensibilización de la sociedad tarijeña",Educacion y Futuro,17085
Funcionamiento Centro Salud Milloma,Asociación Andaluza por la Solidaridad y la Paz,1300
Funcionamiento Centro Salud Milloma,Ayuntamiento de Granada,62644
Funcionamiento Centro Salud Milloma,Asociación por la Dignidad e Igualdad de Oportunidades,4532
Funcionamiento Centro Salud Milloma,Diputación de Almería,15559
Generación de capacidades para el ejercicio responsable de derechos y deberes ciudadanos en la Mancomunidad Andina de Cochabamba  ,Agencia Española de Cooperación Internacional,180000
"Gestión integrada de la micro cuenca “Suru Hata” con enfoque de soberanía, seguridad alimentaria y negociación, para sustentar el desarrollo económico productivo de los pequeños productores aymaras del cantón de Ilabaya del Departamento de La Paz",Generalitat de Valencia,334426
Implantación de sistemas de salud comunitaria y municipal en redes de salud rurales de extrema pobreza en Potosí,Unión Europea,749735
Implantación de sistemas de salud comunitaria y municipal en redes de salud rurales de extrema pobreza en Potosí,PROgrama de COordinación en Salud Integral,75000
"Implementación de la piscicultura rural a pequeña escala en la provincia de Chiquitos, Bolivia",Fundación ICO,51168
"Implementación de la piscicultura rural a pequeña escala en la provincia de Chiquitos, Bolivia",Centro de Estudio de la Hoya Amazoníca ,21714
Implementación de una red de coordinación interinstitucional para la gestión y el control de aguas comunitarias de consumo entre el gobierno local y las TCO TIM y TIMI,Centro de Estudio de la Hoya Amazoníca ,29424
"Incrementada la calidad educativa de 3 Unidades Educativas, mediante la dotación de elementos básicos de la educación",Paz y Desarrollo,2000
Incorporación de los Adolescentes Internos en las Cárceles de Cochabamba a los Programas de Reinserción Social de Ayni Ruway,Proyecto Solidario,21573
"Incrementado el Nivel de la Educación de los/as niños, niñas y jóvenes de la Unidad Educativa “Chacabuco”- Municipio Puna.",Municipio de Puna,95029
"Incrementado el Nivel de vida de la población de las Comunidades de Lamani Baja , Yocalla , Chalama, Muquina , Puituco y Quiruchata mediante la producción agrícola bajo riego",Paz y Desarrollo,8900
"Incrementado el Nivel de vida de la población de las Comunidades de Lamani Baja , Yocalla , Chalama, Muquina , Puituco y Quiruchata mediante la producción agrícola bajo riego",Junta de Comunidades de Castilla La Mancha,338376
"Incrementado el Nivel de vida de la población de las Comunidades de Lamani Baja , Yocalla , Chalama, Muquina , Puituco y Quiruchata mediante la producción agrícola bajo riego","Municipios de Betanzos, Puna, Cotagaita, Tacobamba y Tinquipaya",150872
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas de la localidad de Chaquí mediante la producción láctea.   ,Paz y Desarrollo,3200
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas de la localidad de Chaquí mediante la producción láctea.   ,Ayuntamiento de Córdoba,35000
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas del Municipio Caiza “D” a través del mejoramiento de la producción frutícola y agroforestal.,Diputación de Cádiz,8500
Granja Escuela,Ayuntamiento de Zaragoza,65000
"Implementación de la piscicultura rural a pequeña escala en la provincia de Chiquitos, Bolivia",Centre D'estudis Amazónics,5359
"Incrementado el Nivel de la Educación de los/as niños, niñas y jóvenes de la Unidad Educativa “Chacabuco”- Municipio Puna.",Fundación Castellano Manchega de Cooperación,61200
Implementación de una red de coordinación interinstitucional para la gestión y el control de aguas comunitarias de consumo entre el gobierno local y las TCO TIM y TIMI,Centre D'estudis Amazónics,16968
Implementación Granja Piscícola Muyurina,Gobierno de Asturias,139245
Incrementada la calidad educativa de niños y niñas del nivel primario de la Unidad Educativa Tomás Frías - Municipio Porco.,Paz y Desarrollo,2200
Incrementada la calidad educativa de niños y niñas del nivel primario de la Unidad Educativa Tomás Frías - Municipio Porco.,Diputación General de Aragón,89860
Incrementada la calidad educativa de niños y niñas del nivel primario de la Unidad Educativa Tomás Frías - Municipio Porco.,Municipio de Porco,37751
"Incrementado el Nivel de la Educación de los/as niños, niñas y jóvenes de la Unidad Educativa “Chacabuco”- Municipio Puna.",Paz y Desarrollo,3500
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas de la localidad de Chaquí mediante la producción láctea.   ,Municipio de Chaque,25281
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas del Municipio Caiza “D” a través del mejoramiento de la producción frutícola y agroforestal.,Paz y Desarrollo,1926
Generar economías locales para artesanos/as y comunidades forestales en Santa Cruz y La Chiquitania (Bolivia) a través del certificación FSC y el Comercio Justo,Agencia Española de Cooperación Internacional,218552
Implementación de una red de coordinación interinstitucional para la gestión y el control de aguas comunitarias de consumo entre el gobierno local y las TCO TIM y TIMI,Diputación de Barcelona,57310
Implantación de sistemas de salud comunitaria y municipal en redes de salud rurales de extrema pobreza en Potosí,"Municipios de Betanzos, Puna, Cotagaita, Tacobamba y Tinquipaya",109946
"Impulsar procesos de transformación social y educativa a través de propuestas educativas comunitarias participativas e innovadoras, y mediante la consolidación de un espacio radiofónico alternativo",Fundacion Intered,4622
"Impulsar procesos de transformación social y educativa a través de propuestas educativas comunitarias participativas e innovadoras, y mediante la consolidación de un espacio radiofónico alternativo",Xunta de Galicia,140035
"Impulsar procesos de transformación social y educativa a través de propuestas educativas comunitarias participativas e innovadoras, y mediante la consolidación de un espacio radiofónico alternativo",Asociacion Cultural Amistad y Ciencia,43548
"Incrementada la calidad educativa de 3 Unidades Educativas, mediante la dotación de elementos básicos de la educación",Generalitat de Valencia,297893
"Impulsar procesos de transformación social y educativa a través de propuestas educativas comunitarias participativas e innovadoras, y mediante la consolidación de un espacio radiofónico alternativo",Diputación Foral de Gipuzkoa,31813
"Incrementada la calidad educativa de 3 Unidades Educativas, mediante la dotación de elementos básicos de la educación","Municipios de Betanzos, Puna, Cotagaita, Tacobamba y Tinquipaya",79955
Impulso a procesos de cambio social en Bolivia: Fortalecimiento del protagonismo social y político de organizaciones de inmigrantes indígenas del área suburbana de Cochabamba – Bolivia,Junta de Comunidades de Castilla La Mancha,282619
Incidencia en políticas públicas dentro del proceso constituyente,Agencia Española de Cooperación Internacional,392786
Incorporación de los Adolescentes Internos en las Cárceles de Cochabamba a los Programas de Reinserción Social de Ayni Ruway,Centro de Desarrollo Integral Para la Mujer y la Familia,57382
Incrementado el nivel de vida de los/as campesinos/as indígenas quechuas del Municipio Caiza “D” a través del mejoramiento de la producción frutícola y agroforestal.,Municipio de Chaque,8495
Incrementar el nivel de vida de la población de la Comunidad Iscu Mayu mediante la producción agrícola bajo riego,Paz y Desarrollo,5814
Incrementar el nivel de vida de la población de la Comunidad Iscu Mayu mediante la producción agrícola bajo riego,Ayuntamiento de Córdoba,59060
Incrementar el nivel de vida de la población de la Comunidad Iscu Mayu mediante la producción agrícola bajo riego,Municipios de Yocalla y Puna,21970
"Información, prevención, detección y tratamiento de la leishmaniasis en el municipio de Palos Blancos",Agencia Española de Cooperación Internacional,99652
"Información, prevención, detección y tratamiento de la leishmaniasis en el municipio de Palos Blancos",Obras Sociales de Caminos de Acceso Rural,21262
"Información, prevención, detección y tratamiento de la leishmaniasis en el municipio de Palos Blancos",Municipio de los Palos Blancos,32872
Investigador e impulsor de técnicas en manejo sostenible de recursos, Asociación para el Desarrollo Social y Cultural ZABALKETA,6003
Investigador e impulsor de técnicas en manejo sostenible de recursos,Agencia Vasca de Cooperación al Desarrollo,18000
Ixiamas Sana e Intercultural: Atención a la Salud Integral y con Adecuación Cultural,Junta de Comunidades de Castilla La Mancha,312642
La juventud de guayaramerín protagonista de su desarrollo social y laboral,Fundación de Ayuda contra la Drogradicción,16796
La juventud de guayaramerín protagonista de su desarrollo social y laboral,Ayuntamiento de Madrid,200000
La juventud de guayaramerín protagonista de su desarrollo social y laboral,ENDA – Bolivia,28987
La juventud de guayaramerín protagonista de su desarrollo social y laboral,Municipio de Guayamarín,14000
