name,description,start_date,end_date,date_provided,date_updated,sector,organization,regions
Centro de Educación Integral Santa Lucia de Yocalla,"El proyecto tiene el propósito de lograr el máximo
desarrollo físico e intelectual de 500 niños y niñas
actualmente en situación de desventaja económica,
",2009-01-15,2009-01-14,2012-01-18,2012-01-18,Educación,Paz y Desarrollo,Yocalla
Centro de Recursos y Apoyo Psicopedagógico a Escuelas Rurales,,2008-02-01,2009-12-31,2012-01-18,,Educación,Asociación Andaluza por la Solidaridad y la Paz,Tapacarí|Sipe Sipe
Centro Modelo de Reinserción para Adolescentes y Jóvenes Infractores  de la Ley,,2008-12-01,2010-06-30,2012-01-18,,Educación,Jóvenes y desarrollo,Viacha
Consolidación de asentamientos de comunidades indígenas guaraníes. Fase II ,El proyecto quiere impulsar modelos de desarrollo que faciliten la integración de las familias campesinas de origen quechua con las familias indígenas guaraníes. Incrementar la renta familiar.Incrementar las oportunidades económicas. Solucionar los problemas jurídicos y organizativos,2008-12-01,2010-12-30,2012-01-18,,Gobernabilidad Democrática, Asociación para el Desarrollo Social y Cultural ZABALKETA,Huacareca
"Consolidación de la piscicultura rural a pequeña escala en las comunidades de la provincia de Moxos, Departamento del Beni, Bolivia.","Mejorar la seguridad alimentaria y económica y autonomía de 2.196 familias de comunidades indígenas y campesinas con índices de pobreza de más del 90% y consolidar las organizaciones de piscicultores con formación y seguimiento, transfiriéndoles la responsabilidad de la gestión de forma progresiva
",2008-03-01,2011-02-28,2012-01-18,2012-01-18,Desarrollo Rural y Hambre,Centre D'estudis Amazónics,San Ignacio De Moxos
"Construcción Centro Educativo ""Juan de Dios Bosque""","El proyecto consiste en la construcción de aulas, baños sanitarios, ambientes para dirección y administración, equipamiento y mobiliarioa para el Colegio Juan de Dios Bosque en el municipio de Sorata",2009-03-01,2010-02-28,2012-01-18,,Educación,Ayuda en Acción,Sorata
Construcción de un sistema de agua potable en la comunidad de Chajhuaya,El proyecto consiste en la construcción de un sistema de agua potable en la comunidad Chajhuaya del municipio de Sorata. Los otros socios financiadores lo constituyen el gobierno municipal de Sorata y las familias beneficiarias,2009-03-01,2010-02-28,2012-01-18,,Salud,Ayuda en Acción,Sorata
Construcción del Colegio Secundario Checochi,El proyecto consiste en la construcción y equipamiento de un colegio secundario en la comunidad de Checochi. Los otros socios y financiadores son el municipio de Cotagaita y los padres familia de la comunidad,2008-03-01,2009-05-30,2012-01-18,2012-01-18,Educación,Ayuda en Acción,Cotagaita
"Construcción Democrática y Concertada  de normas legales y constitucionales sobre usos, derechos e instituciones de regulación de recursos hídricos y de biodiversidad","
",2007-01-01,2010-12-31,2012-01-18,,Agua y Saneamiento,Intermón Oxfam,Santa Cruz|Cochabamba|Tarija
Construyendo la Viabilidad de Políticas Públicas del derecho a la alimentación a través de Alianzas y Acuerdos en Marco de la Soberanía y Seguridad alimentaria Nutricional en Bolivia,,2009-02-01,2009-05-31,2012-01-18,,Gobernabilidad Democrática,Intermón Oxfam,Bolivia
"Contribución a la generación de condiciones para el ejercicio ciudadano, equidad de género y seguridad jurídica sobre la propiedad agraria de comunidades indígenas,  en los 5 municipios de la Mancomunidad de la Región Andina.",,2008-12-10,2010-12-09,2012-01-18,2012-04-23,Gobernabilidad Democrática,Fundación Iberoamericana para el Desarrollo,Arque|Sicaya|Tapacarí|Bolívar
Convenio AECID,,2008-03-01,2010-06-30,2012-01-18,,Crecimiento Económico,Instituto para la promoción y ayuda al desarrollo,Mancomunidad Caine|San Lucas
Convenio para el empoderamiento de la mujer en Perú y Bolivia,"El Convenio tiene como finalidad la promoción de una mayor representación y participación de las mujeres en todos los espacios sociales comunitarios y políticos, el fortalecimiento de las políticas y mecanismos nacionales para la equidad de género
",2006-12-01,2011-05-31,2012-01-18,2012-06-29,Género en Desarrollo,Solidaridad Internacional,Tiquipaya|Independencia|El Alto|Quime|Morochata|Quillacollo
Desarrollo de capacidades de gestión territorial de los pueblos indígenas del norte amazónico de Bolivia,,2007-01-01,2010-12-31,2012-01-18,,Gobernabilidad Democrática,Intermón Oxfam,Reyes|San Pedro|San Lorenzo|Ixiamas|Riberalta|Sena
Desarrollo económico local en el municipio de Yapacaní,"Es un proyecto que consiste en desarrollar y fortalecer las cadenas productivas, forestal, arroz y peces. Los otros socios son el gobierno municipal de Yapacaní y las familias beneficirias",2007-10-01,2010-09-30,2012-01-18,,Crecimiento Económico,Ayuda en Acción,Villa Yapacaní
Desarrollo económico y social de campesinos y indígenas del Norte Amazónico de Bolivia,"Apoyo en 35 comunidades y organizaciones campesinas e indígenas del Norte Amazónico con Planes Ordenamiento Predial y Manejo Recursos Naturales, sistemas productivos, transformación y comercialización, sistemas agua potable, fortalecimiento y capacitacion técnica para la incidencia política",2006-03-01,2009-10-30,2012-01-18,,Desarrollo Rural y Hambre,Veterinarios Sin Fronteras - VETERMON,Bolivia
Desarrollo forestal sostenible en equidad de género,"Las acciones integrales persiguen la gestión de los recursos productivos como eje de los procesos de desarrollo local, promoviendo la participación equitativa de hombres y mujeres, la gestión  y manejo  sostenible de los recursos naturales, la seguridad alimentaria y  la mejora de la renta familiar",2008-01-01,2009-06-30,2012-01-18,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
"Desarrollo Integral de Niños, Niñas y Adolescentes",,2005-12-30,2009-03-31,2012-01-18,,Educación,Instituto Sindical de Cooperación al Desarrollo ISCOD-UGT Bolivia,Llallagua|Uncía|Catavi
Desarrollo Local  de Comunidades Indígenas Aymaras del Sector Loma,"En consorcio con APROC y AYNI, trabajamos en la zona del altiplano para propiciar el Desarrollo Local de 6 comunidades indígenas mediante nuevos modelos productivos integrales que faciliten la incorporación de la perspectiva de género y mejoren la Renta Disponible.",2006-09-01,2010-10-30,2012-01-18,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Mecapaca
Desarrollo territorial en el ADT Alcalá,"Desarrollo integral de los municipios de Alcalá, Sopachuy, El Villar",2009-01-01,2009-12-31,2012-01-18,2012-01-18,Gobernabilidad Democrática,Ayuda en Acción,Sopachuy|Alcala|Villar
Desarrollo territorial en el ADT Alto Beni,Desarrollo integral en el municipio de Palos Blancos,2009-01-01,2009-12-31,2012-01-18,,Gobernabilidad Democrática,Ayuda en Acción,Palos Blancos
Desarrollo territorial en el ADT Azurduy - Tarvita,,2009-01-01,2009-12-31,2012-01-18,,Gobernabilidad Democrática,Ayuda en Acción,Azurduy
Desarrollo territorial en el ADT Licoma,Desarrollo integral en los municipios de Licoma y Cajuata,2009-01-01,2009-12-31,2012-01-18,,Gobernabilidad Democrática,Ayuda en Acción,Licoma
Desarrollo territorial en el ADT Luís Calvo,,2009-01-01,2009-12-31,2012-01-18,,Gobernabilidad Democrática,Ayuda en Acción,Huacaya|Muyupampa
Desarrollo territorial en el ADT Malmiza,Desarrollo integral en el municipio de Tinquipaya,2009-01-01,2009-01-31,2012-01-18,,Gobernabilidad Democrática,Ayuda en Acción,Tinquipaya
Desarrollo territorial en el ADT Betanzos,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Betanzos
Desarrollo territorial en el ADT Manuel María Caballero,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Comarapa|Saipina
Desarrollo territorial en el ADT San José de Chiquitos,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,San José de Chiquitos
Desarrollo territorial en el ADT Sorata,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Sorata
Desarrollo territorial en el ADT Sucre,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Sucre
Desarrollo territorial en el ADT Viacha,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Viacha
Desarrollo territorial en el ADT Wichaca,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Caiza D|Cotagaita
Desarrollo territorial en el ADT Yapacaní,,2009-01-01,2009-12-31,2012-01-19,,Gobernabilidad Democrática,Ayuda en Acción,Villa Yapacaní
"Difusión y valorización de los saberes históricos, sociales, culturales y naturales propios al alumnado de primaria de Mojos, Bolivia.","Elaboración de libro de texto de conocimientos y saberes de la historia, medio natural e identidad de Mojos a nivel social, cultural y natural del tercer ciclo de primaria junto con HOYAM-MOJOS y el Consejo Educativo del Pueblo Originario Indígena Mojeño (CEPOIM)",2008-02-01,2009-01-31,2012-01-19,,Educación,Centre D'estudis Amazónics,San Ignacio De Moxos
Dignidad y calidad Educativa para los más desfavorecidos,"Mejora de la calidad educativa con la incorporación de las transversales de equidad de género, medio ambiente y ciudadanía y democracia en escuelas de primaria
",2007-03-01,2009-04-28,2012-01-19,2012-10-08,Educación,Educación Sin Fronteras,Arbieto|Tarata
Dinamización Cultural en los cinco municipios de la Región Andina,,2008-06-09,2010-06-10,2012-01-19,2012-04-23,Cultura y Desarrollo,Fundación Iberoamericana para el Desarrollo,Bolívar|Arque|Sicaya|Cochabamba|Tapacarí
Dinamización de economías territoriales en la cuenca alta del Río Azero,"Proyecto que apoya al Desarrollo del las cadenas productivas madera, maní, ají y maíz en los municipios de Alcalá, Sopoachuy y El Villar",2008-10-01,2011-09-30,2012-01-19,2012-01-19,Crecimiento Económico,Ayuda en Acción,Villar|Alcala|Sopachuy
Diseño y elaboración de cuadernos temáticos diferenciados sobre los derechos de la mujer en Perú y Bolivia,,2009-04-01,2010-03-31,2012-01-20,2012-06-29,Género en Desarrollo,Solidaridad Internacional,Cochabamba
"Educación Alternativa desde la interculturalidad para niños/as, jóvenes y personas adultas en el Barrio de Las Américas, Santa Cruz de la Sierra. Bolivia.","Mejorar la calidad de vida en los barrios urbano-marginales de Santa Cruz comprendidos en el anillo 8, uno de los  más empobrecidos de ésta. Para contribuir a este objetivo a lo largo de los 18 meses del proyecto se desarrollará un programa de formación integral para niños/as, jóvenes y adultos",2009-02-15,2010-02-14,2012-01-20,,Educación,Fundacion Intered,Santa Cruz
Educación en Democracia y Equidad de Género. III Fase.,"Contribuir a la aplicación de la Reforma Educativa con la transformación del nivel secundario mediante colegios demostrativos, que trabajan la transversal de Democracia con equidad de género con el apoyo de autoridades educativas a nivel municipal y distrital",2009-01-01,2009-12-30,2012-01-20,,Educación,Fundacion Intered,Batallas|La Paz|El Alto|Pucarani
Educación Formal y Alternativa,"El proyecto tiene una duración de 3 años y con su ejecución se busca fortalecer y desarrollar el sistema de educación formal y educación alternativa en los municipios de Alcalá, Sopachuy y el Villar. Los otros socios o financiadores son los gobiernos municipales y familias beneficiarias.",2008-01-01,2010-12-31,2012-01-20,,Educación,Ayuda en Acción,Alcala|Sopachuy|Villar
"Educación Integral y técnica de jóvenes y adolescentes de zonas rurales vulnerables, dirigida a potenciar las vocaciones productivas de la zona andina. ","Mejora de la educación rural en centros de secundaria, técnica y alternativa con: mejora de sus capacidades y herramientas de gestión, adaptación de la oferta educativa a la realidad económica y cultural de cada zona y la incorporación de la cultura de paz, la equidad de género e interculturalidad",2008-05-01,2012-05-31,2012-01-20,2012-10-08,Educación,Educación Sin Fronteras,San Pedro|Tarata|Toro Toro|Entre Ríos|Uriondo|Padcaya|Arbieto|Acacio|Anzaldo
Educación integral y técnica para jóvenes y adultos de zonas rurales del Departamento de Tarija," Ampliar el acceso y mejorar la calidad y pertinencia de, la educación alternativa integral y técnica básica en 33 comunidades rurales de las provincias Arce, Avilés y O´Connor",2008-12-01,2010-12-31,2012-01-20,2012-10-08,Educación,Educación Sin Fronteras,Entre Ríos
"Educación para la Salud (EPS): Estrategia  de Educación, Información y Capacitación (IEC) y fortalecimiento de los Puestos de Información del Vector (PIVS) de la enfermedad de Chagas","Fortalecer a las instituciones públicas y privadas del Municipio de Sacaba para que asuman el sistema de vigilancia, control, diagnóstico y trata de la enfermedad de chagas evitando el riesgo de reinfestación de las comunidades. ",2007-12-01,2008-11-30,2012-01-23,2012-10-08,Salud,Educación Sin Fronteras,Sacaba
"Educación, la llave para el desarrollo local (2da Fase): abriendo las puertas para una vida digna",Mejora de la calidad educativa con la implemnetación de estrategias pedagógicas de educación intercultural bilingüe y desarrollo de capacidades de gestión estratégica municipal en educación,2007-12-01,2010-01-31,2012-01-23,2012-10-08,Educación,Educación Sin Fronteras,Acacio|San Pedro|Toro Toro|Anzaldo
"Empoderamiento de las organizaciones de mujeres indígenas, campesinas, originarias y afrobolivianas en Bolivia","El presente proyecto pretende contribuir al empoderamiento político de las mujeres, a partir de la interrelación y actuación conjunta de las organizaciones indígenas, campesinas, originarias y afro-descendientes de Bolivia. Potencializando y fortaleciendo sus capacidades para generar estrategias de exigibilidad de su derechos que les permitan incidir en espacios de poder y elaborar propuestas de normativa en los temas de violencia de género y derechos de las mujeres",2009-06-01,2010-06-30,2012-01-23,2012-06-07,Género en Desarrollo, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Chimore|Oruro|Cobija|Bermejo|Rurrenabaque
Estudio Forestal en vivero de diferentes sustratos implementando ténicas innovadoras en la región de los valles cruceños,"La iniciativa pretende la puesta en marcha de metodologías piloto de reforestación,  control de suelos y recuperación medioambiental  a través de tecnologías científicas basadas en gestión de biomasa e impulso de la caliptra de los plantines mediante alveolos evolucionados y  sustratos específicos",2008-01-01,2009-06-30,2012-01-23,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
"Extensión de la piscicultura en comunidades indígenas y campesinas en las provincias de Marbán, Cercado y Moxos del Departamento del Beni. ","Mejorar la seguridad alimentaria y económica y la autonomía de 2.196 familias de comunidades indígenas y campesinas con índices de pobreza > 90% y consolidar las organizaciones de piscicultores con formación y seguimiento, transfiriéndoles la responsabilidad de la gestión de forma progresiva",2007-03-01,2009-02-28,2012-01-23,,Desarrollo Rural y Hambre,Centre D'estudis Amazónics,Guayamerín
Formación de maestras y maestros como líderes promotores desde la escuela de una ciudadanía activa y participativa” III FASE.,"Generar procesos de formación a los docentes de escuelas públicas de Sacaba, Colomi, Anzaldo y Cercado a convertirse en promotores de propuestas educativas que promuevan el ejercicio  de la ciudadanía",2009-02-15,2010-02-14,2012-01-23,2012-01-23,Educación,Fundacion Intered,Cercado|Sacaba|Colomi|Anzaldo
Formación de Trabajadores del Sector Fabril y Equipamiento de Radios Fabriles,,2008-02-01,2010-02-01,2012-01-23,,Gobernabilidad Democrática,Instituto Sindical de Cooperación al Desarrollo ISCOD-UGT Bolivia,Bolivia
Formación y capacitación de Educadores Populares,"Se realizará la instrucción pedagógica a:
320 niños/as de primaria en la Unidad Educativa Eduardo Avaroa del Municipio de Betanzos.
200 niños/as de primaria en la U.E. Eduardo Avaroa del Municipio de Chaquí
240 niños/as de primaria en la U.E. Gualberto Villarroel del Municipio de Tacobamba",2008-08-01,2009-08-01,2012-01-23,2012-01-23,Educación,Proyecto Solidario,Santa Cruz
Formación y Capacitación de Nuevos líderes de organizaciones campesinas indígenas como “Agentes de la Tierra”,,2008-07-01,2009-06-30,2012-01-23,,Gobernabilidad Democrática,Cáritas,Bolivia
Fortalecer el proceso de erradicación del analfabetismo para promover el acceso de las mujeres y los hombres  indígenas guaraníes a la educación en el Municipio de Huacaya – BOLIVIA. ,"Mejora del nivel educativo de la población guaraní de los tres municipios, prestando atención especial a las mujeres y niñas. Se trabajará desde un enfoque integral, incidiendo tanto en el sistema educativo formal y como no formal o alternativo",2008-01-01,2009-02-01,2012-01-23,,Educación,Fundacion Intered,Huacaya
"Fortalecida la atención sanitaria en el Cabildo Alta del Ayllu Ckaña, Municipio de Tinguipaya, ofreciendo cobertura de salud a los habitantes.","Construcción y equipamiento del Puesto de Salud Ckallpa Pampa para 1535 habitantes de 9 comunidades que brindará los servicios de medicina general, medicina tradicional, farmacia, internación, partos y enfermería. Además, se realizará la actividad de promoción prevención y educación en salud",2008-06-20,2009-08-19,2012-01-23,,Salud,Paz y Desarrollo,Tinquipaya
"Fortalecida la Atención Sanitaria en las Comunidades de El Molino Municipio Yocalla y Keluyo Municipio Puna, ofreciendo cobertura de salud a sus habitantes.","Construcción y equipamiento de dos centros de Salud para 1075 habitantes en la comunidad de El Molino y 1455 habitantes en la comunidad Keluyo, que brindarán servicios de medicina general, tradicional, farmacia, internación, partos y enfermería. Además de actividades de promoción y prevención",2008-08-01,2009-07-31,2012-01-23,,Salud,Paz y Desarrollo,Yocalla|Puna
"Fortalecida la Mancomunidad Gran Centro Potosí y sus entidades constituyentes, a tráves de programas y proyectos mancomunados",,2009-03-02,2010-03-01,2012-01-23,2012-01-23,Educación,Paz y Desarrollo,Betanzos|Chaqui
"Fortalecidas las capacidades de las mujeres en sus derechos sexuales y reproductivos, con enfoque intercultural y comunitario. ",,2008-03-01,2009-03-31,2012-01-23,,Gobernabilidad Democrática,Solidaridad Internacional,Bolivia
Fortalecimiento a la eduación inicial de 4 comunidades de Cajuata y Licoma,"Favorecer a niños/a en edad preescolar de Licoma y Cajuata con la construcción y equipamiento de ambientes y desarrollo de la currícula educativa. Junto con financiadores, los gobiernos municipales y los padres de familia de los estudiantes de 4 unidades educativas",2009-05-01,2010-04-30,2012-01-23,2012-01-23,Educación,Ayuda en Acción,Licoma
Fortalecimiento al ejercicio de la ciudadanía de mujeres de zonas periurbanas y rurales de Bolivia,,2008-10-01,2011-09-30,2012-01-23,2012-06-07,Género en Desarrollo, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Trinidad|San Ignacio De Moxos|San Ignacio|Santa Cruz|La Paz|Cochabamba|Tarija|Oruro|Potosí|Sucre|Cobija|Punata|Villa Montes|Yacuíba|Loreto|San Andrés|Caraparí|El Alto
Fortalecimiento de la autonomía política y social de las mujeres en la Mancomunidad Andina de Cochabamba,,2007-03-21,2009-06-26,2012-01-23,2012-04-23,Gobernabilidad Democrática,Fundación Iberoamericana para el Desarrollo,Sicaya|Arque|Bolívar|Tapacarí
Fortalecimiento de la capacidad de autosostenimiento del Hogar Teresa de los Andes. Ampliación y equipamiento de la unidad productiva panadería,Proyecto de fortalecimiento a la unidad productiva panadería del Hogar Teresa de los Andes en el municipio de Cotoca que alberga a niños con discapacidad física y mental,2008-08-01,2009-07-31,2012-01-23,2012-01-23,Crecimiento Económico,Ayuda en Acción,Cotoca
Fortalecimiento de la participación política de mujeres indígenas,El proyecto pretende incorporar la visión de  la mujer indígena en los espacios y procesos de participación política de 8 gobiernos municipales de las tierras bajas bolivianas,2007-10-01,2009-09-30,2012-01-23,,Gobernabilidad Democrática, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Fortalecimiento de la red sanitaria pública y de la gestión local en salud de la provincia de Velasco,,2006-12-04,2009-09-30,2012-01-23,2012-01-23,Salud,Medicos del Mundo,San Rafael|San Miguel|San Ignacio
"Fortalecimiento de las capacidades de información, articulación, control y monitoreo de la producción de pequeños campesinos y campesinas del Norte de Santa Cruz.","Fortalecer la capacidad de toma de decisiones de los/as pequeños/as productores/as de 20 comunidades del Norte Integrado y Tierras del Este de Santa Cruz, en base a potenciar sus capacidades de acceso a información, articulación, intercambio de experiencias, control y monitoreo de su producción",2008-06-01,2009-08-31,2012-01-23,,Desarrollo Rural y Hambre,Veterinarios Sin Fronteras - VETERMON,Santa Cruz
Fortalecimiento de las capacidades de la sociedad civil para la gestión social del agua en las zonas periurbanas del sur de Cochabamba – Bolivia,,2007-09-01,2010-06-30,2012-01-23,2012-06-07,Agua y Saneamiento, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Cochabamba
Fortalecimiento de las defensorías municipales de la niñez y adolescencia del Departamento de Santa Cruz,"En los cuatro municipios (Gutiérrez, Montero, Comarapa y Cuatro Cañadas)  se dotó de infraestructura para el funcionamiento de las DMNAs; sin embargo, el proyecto tiene incidencia en 28 municipios del Departamento de Santa Cruz",2007-07-01,2009-07-01,2012-01-23,,Gobernabilidad Democrática,Proyecto Solidario,Montero|Comarapa|Cañada
Fortalecimiento de los emprendimientos Económicos de las Mujeres de Bolivia y Perú,"El proyecto pretende fortalecer las capacidades empresariales de las mujeres de Perú y Bolivia con objeto de mejorar su inserción en el  tejido económico y su calidad de  vida a través de la capacitación, el acceso a redes, mercados locales, nacionales e internacionales",2008-07-01,2009-08-31,2012-01-23,2012-06-29,Crecimiento Económico,Solidaridad Internacional,El Alto
Fortalecimiento de los Institutos de Educación Técnica Media y Superior no Universitaria de Fe y Alegría,,2008-01-01,2009-12-31,2012-01-23,,Educación,Intermón Oxfam,Bolivia
Fortalecimiento de microemprendimientos en los municipios rurales de departamento Chuquisaca-Bolivia,,2009-01-01,2010-01-31,2012-01-23,,Crecimiento Económico,Jóvenes y desarrollo,Sucre
Fortalecimiento de procesos socioproductivos en las comunidades indígenas guaraníes del Alto y Bajo Isoso (fase II),"El proyecto pretende consolidar los procesos sostenibles y rentables ya desarrollados en la zona, con equidad de género, que garanticen la gestión propia y racional de las Pequeñas Empresas Ganaderas Comunales (PEGC) en las comunidades indígenas Rancho Nuevo y Yapiroa",2008-08-01,2009-07-30,2012-01-23,,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Fortalecimiento del Tejido Social y Económico de Comunidades Indígenas y Campesinas en la Municipalidad de Huacareta (Bolivia),Fortalecimiento de un proceso inciado para la consolidación de asentamientos indígenas,2007-10-01,2009-09-30,2012-01-23,2012-01-23,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Huacareca
"Fortalecimiento institucional y formación de personas adultas para una gestión sostenible de los recursos naturales y del desarrollo humano en la provincia de Ayopaya, Bolivia","Enmarcándose en un proceso más amplio iniciado con apoyo de la cooperación española,  el actual proyecto pretende contribuir a la seguridad alimentaria y al desarrollo integral, humano y rural, de las comunidades indígenas campesinas de la provincia de Ayopaya, a través del fortalecimiento del sistema de formación de adultos/as y de la implementación del Plan de Gestión Territorial de al provincia",2009-06-01,2011-05-31,2012-01-23,2012-06-07,Desarrollo Rural y Hambre, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Ayopaya
Fortalecimiento Organizativo y Productivo de Campesinos del Municipio de Guayameráin en el Norte Amazónico de Bolivia,,2008-09-01,2009-08-31,2012-01-23,,Gobernabilidad Democrática,Intermón Oxfam,Guayamerín
